 Message label
40 "Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola" 0
74 "U can call me now..." 0
84 "Yup next stop." 0
119 "Hmm...my uncle just informed me that he's paying the school directly. So pls buy food." 0
234 "Yes:)here tv is always available in work place.." 0
272 "Night has ended for another day, morning has come in a special way. May you smile like the sunny rays and leaves your worries at the blue blue bay." 0
324 "That would be great. We'll be at the Guild. Could meet on Bristol road or somewhere - will get in touch over weekend. Our plans take flight! Have a good week" 0
530 "Jay says that you're a double-faggot" 0
550 "Ok give me 5 minutes I think I see her. BTW you're my alibi. You were cutting my hair the whole time." 0
552 "Hurry up, I've been weed-deficient for like three days" 0
561 "Hi msg me:)i'm in office.." 0
773 "idc get over here, you are not weaseling your way out of this shit twice in a row" 0
795 "There generally isn't one. It's an uncountable noun - u in the dictionary. pieces of research?" 0
906 "Hey what's up charles sorry about the late reply." 0
927 "But I'm on a diet. And I ate 1 too many slices of pizza yesterday. Ugh I'm ALWAYS on a diet." 0
1012 "I just got home babe, are you still awake ?" 0
1081 "You tell what happen dont behave like this to me. Ok no need to say" 0
1102 "Yeah go on then, bored and depressed sittin waitin for phone to ring... Hope the wind drops though, scary" 0
1132 "Sorry, I'll call later" 0
1165 "Well. Im computerless. Time to make some oreo truffles" 0
1173 "Happy new years melody!" 0
1175 "Yay! You better not have told that to 5 other girls either." 0
1302 "I tot u reach liao. He said t-shirt." 0
1329 "My exam is for february 4. Wish you a great day." 0
1383 "Its ok my arm is feeling weak cuz i got a shot so we can go another time" 0
1386 "That's ok. I popped in to ask bout something and she said you'd been in. Are you around tonght wen this girl comes?" 0
1495 "It has everything to do with the weather. Keep extra warm. Its a cold but nothing serious. Pls lots of vitamin c" 0
1525 "Hi:)cts employee how are you?" 0
1576 "Sounds gd... Haha... Can... Wah, u yan jiu so fast liao..." 0
1586 "I was wondering if it would be okay for you to call uncle john and let him know that things are not the same in nigeria as they r here. That  &lt;#&gt;  dollars is 2years sent and that you know its a strain but i plan to pay back every dime he gives. Every dime so for me to expect anything from you is not practical. Something like that." 0
1772 "Watching tv now. I got new job :)" 0
1782 ";-( oh well, c u later" 0
